Winner ID	Winner Name	Winner Score	Winner Elo	Winner RD	Loser ID	Loser Name	Loser Score	Loser Elo	Loser RD	Timestamp	Index
117697656519786497	Pokebunny	10	1830.851026	73.79081328	160540151133503489	Kaui	0	1168.409737	107.1141529	Dec/26/2022 at 02:22:37	1,420
117697656519786497	Pokebunny	8	1835.924995	73.62807634	338507587966205953	seth	6	1540.781545	64.12774832	Dec/26/2022 at 02:55:15	1,421
338507587966205953	seth	3	1549.501559	63.97440611	559457745779032085	BEAR	2	1442.602312	70.44379408	Dec/26/2022 at 04:19:09	1,422
210982819793469440	legendarybolt	6	1760.333169	64.73985279	82954085854089216	TK	2	1524.707146	75.06273588	Dec/26/2022 at 06:05:44	1,423
326193143722672128	sleepywitch	2	1292.775256	113.3323254	664730126306639872	MikeLeo	1	1180.436303	205.4698073	Dec/26/2022 at 13:01:56	1,424
559457745779032085	BEAR	14	1453.459418	69.88579475	317495021106495488	duckydonne	4	1356.452618	69.78453775	Dec/26/2022 at 13:54:07	1,425
317495021106495488	duckydonne	4	1373.536924	69.3042795	559457745779032085	BEAR	2	1436.324923	69.3990371	Dec/26/2022 at 13:54:15	1,426
559457745779032085	BEAR	10	1447.330473	68.88984081	317495021106495488	duckydonne	9	1362.558347	68.80134346	Dec/26/2022 at 13:54:18	1,427
326193143722672128	sleepywitch	14	1317.133434	109.7676076	509247181652361216	Bbone	3	1154.919575	174.1314882	Dec/26/2022 at 14:01:00	1,428
255541617597874176	Colby2D	3	1484.831741	79.00943053	317495021106495488	duckydonne	2	1353.386493	68.4214464	Dec/26/2022 at 14:28:59	1,429
326193143722672128	sleepywitch	11	1334.739813	106.814557	509247181652361216	Bbone	0	1114.086673	160.1672726	Dec/26/2022 at 14:35:00	1,430
255541617597874176	Colby2D	5	1506.232749	77.89275154	152837146049380352	heckaroni	1	1560.818188	70.41684093	Dec/26/2022 at 14:56:26	1,431
255541617597874176	Colby2D	10	1525.309084	76.78087877	152837146049380352	heckaroni	6	1545.125373	69.84697206	Dec/26/2022 at 15:28:11	1,432
89528231312490496	ViVi	18	1793.265187	75.96908466	317495021106495488	duckydonne	2	1351.278852	68.83340504	Dec/26/2022 at 15:54:04	1,433
89528231312490496	ViVi	10	1803.149908	75.19733288	613483843537862675	Sam N	5	1643.44587	68.10139494	Dec/26/2022 at 15:54:18	1,434
345026013253861396	BigNick	6	1836.483335	66.21045467	613483843537862675	Sam N	1	1636.720547	67.91982177	Dec/26/2022 at 16:27:57	1,435
152837146049380352	heckaroni	9	1558.827371	69.25986149	338507587966205953	seth	6	1537.932803	63.76896217	Dec/26/2022 at 16:59:32	1,436
402644200115535874	bennyokay	10	1561.464087	64.10253774	317495021106495488	duckydonne	5	1344.905694	68.65979695	Dec/26/2022 at 17:14:00	1,437
402644200115535874	bennyokay	5	1566.751334	64.19424687	317495021106495488	duckydonne	4	1338.879091	68.52798785	Dec/26/2022 at 17:42:58	1,438
295390108365094913	RuckusTheory	6	1530.997452	64.02583105	338507587966205953	seth	1	1525.918756	63.57131934	Dec/26/2022 at 17:50:17	1,439
345026013253861396	BigNick	7	1847.502199	65.88577644	89528231312490496	ViVi	6	1789.074034	74.25216576	Dec/26/2022 at 18:27:58	1,440
210982819793469440	legendarybolt	10	1765.32066	64.84032629	338507587966205953	seth	3	1521.099381	63.72512739	Dec/26/2022 at 18:40:06	1,441
295390108365094913	RuckusTheory	1	1542.16598	63.80982022	338507587966205953	seth	0	1510.034551	63.52765512	Dec/26/2022 at 19:07:32	1,442
345026013253861396	BigNick	13	1857.599585	65.59916442	89528231312490496	ViVi	7	1776.366872	73.40294063	Dec/26/2022 at 19:08:45	1,443
255541617597874176	Colby2D	12	1537.749891	75.82703398	603764155203321856	Bj1447594	10	1429.52534	81.45975349	Dec/26/2022 at 19:53:51	1,444
210982819793469440	legendarybolt	8	1769.882526	64.98556186	338507587966205953	seth	6	1505.641498	63.72991283	Dec/26/2022 at 20:07:58	1,445
255541617597874176	Colby2D	8	1548.834881	74.99625428	603764155203321856	Bj1447594	2	1416.817342	80.21151089	Dec/26/2022 at 20:21:13	1,446
255541617597874176	Colby2D	10	1562.43119	74.07040031	338507587966205953	seth	8	1495.689394	63.56075268	Dec/26/2022 at 20:50:24	1,447
338507587966205953	seth	11	1509.042429	63.42001088	255541617597874176	Colby2D	2	1544.478082	73.24221164	Dec/26/2022 at 21:17:08	1,448
338507587966205953	seth	13	1521.37089	63.26202839	255541617597874176	Colby2D	3	1528.200147	72.43418539	Dec/26/2022 at 21:40:31	1,449
330320859229061122	Super63	15	1761.558888	67.47916144	210982819793469440	legendarybolt	6	1757.367928	64.71995998	Dec/26/2022 at 23:25:48	1,450
117697656519786497	Pokebunny	11	1839.014127	73.7783055	559457745779032085	BEAR	1	1444.600024	69.1933304	Dec/26/2022 at 23:30:04	1,451
465161170136072202	Cézarito	11	1890.195353	74.89413302	668898165679849475	Wheels	1	1606.599839	87.83174773	Dec/27/2022 at 01:12:14	1,452
117697656519786497	Pokebunny	13	1841.290973	74.15329118	831743197251633193	Sippin	0	1321.166368	225.1674243	Dec/27/2022 at 02:17:14	1,453
336528791549640716	Stuffed Flatbread	10	1911.54737	79.88481801	160540151133503489	Kaui	0	1167.407234	107.3231551	Dec/27/2022 at 12:13:59	1,454
